asong	KKI
asortimen	KB
asosial	KS
asosiasi	KB
asosiatif	KS
aspal	KB
asparaga	KB
asparagus	KB
aspartame	KB
aspek	KB
asperses	KB
aspiran	KB
aspirasi	KB
aspirasional	KS
aspirat	KB
aspiratif	KS
aspirator	KB
aspirin	KB
asprak	KB
asrama	KB
asrar	KB
asri	KS
assalamualaikum	KB
astadikpala	KB
astaga	SKT
astagfirullah	SKT
astaka	KB
astakona	KB
astasia	KS
astatik	KS
astatin	KB
astenia	KB
astenik	KS
astenopia	KB
asteositoma	KB
aster	KB
asteroid	KB
astigmatis	KB
astral	KS
astringen	KB
astrofisika	KB
astrolab	KB
astrolog	KB
astrologi	KB
astronaut	KB
astronautika	KB
astronom	KB
astronomi	KB
astronomis	KS
astrosit	KB
asu	KB
asuh	KKI
asumsi	KB
asumtif	KS
asung	KKI
asurador	KB
asuransi	KB
asusila	KS
aswa	KB
aswad	KB
aswasada	KB
Asyera	KB
asyik	KS
Asytoret	KB
Asyura	KB
atak	KB
ataksia	KB
atap	KB
atar	KB
atas	KB|KD
atas nama	KB
atase	KB
atau	KSD
atavisme	KB
ateis	KB
ateisme	KB
ateistis	KS
atelir	KB
atensi	KB
atenuasi	KB
ateret	KKI
ati	KB
atlas	KB
atlet	KB
atletik	KB
atma	KB
atman	KB
atmolisis	KB
atmologi	KB
atmometer	KB
atmosfer	KB
atmosferis	KS
atok	KB
atol	KB
atom	KB
atomisasi	KB
atomistis	KS
atowa	KB
atraksi	KB
atraktan	KB
atraktif	KS
atresia	KB
atribut	KB
atributif	KS
atrisi	KB
atrium	KB
atrofi	KB
atropin	KB
atung	KKI
atur	KKI
atus	KS
aubade	KB
audiensi	KB
audio	KS
audiofil	KB
audiofon	KB
audiograf	KB
audiogram	KB
audiolingual	KS
audiologi	KB
audiometer	KB
audiovisual	KS
audit	KB
auditor	KB
auditorium	KB
augmentatif	KB
auk	KB
auksanometer	KB
auksi	KB
auksin	KB
aula	KB
aulia	KB
aum	KB
aung	KB
aur	KB
aura	KB
aural	KS
aurat	KB
aurikularia	KB
aurora	KB
aurum	KB
aus	KS
auskultasi	KB
autad	KB
autarki	KB
autarkis	KS
autentik	KS
autentikasi	KB
autentisitas	KB
autisme	KB
autistik	KS
auto	KB
autobiograf	KB
autobiografi	KB
autodidak	KB
autodidaktik	KS
autodin	KB
autogami	KB
autogen	KS
autograf	KB
autografi	KB
autogram	KB
autoklaf	KB
autoklastik	KB
autokrasi	KB
autokrat	KB
autokton	KS
autolisis	KB
autolitograf	KB
automaton	KB
automobil	KB
automotif	KS
autopsi	KB
autosom	KB
autotoksin	KB
autotrof	KB
autotrofik	KS
avalans	KB
aven	KB
aversi	KB
avertebrata	KB
Avesta	KB
avgas	KB
aviari	KB
aviasi	KB
aviator	KB
avifauna	KB
avikultur	KB
avirulen	KS
avitaminosis	KB
avokad	KB
avontur	KB
avonturir	KB
avtur	KB
avunkulokal	KB
awa	KB
awaair	KS
awaarang	KS
awabau	KS
awabeku	KS
awabulu	KS
awabusa	KS
awadara	KS
awah	KS
awahama	KS
awai	KKI
awak	KB
awal	KB
awalengas	KKI
awam	KS
awamineral	KS
awan	KB
awanama	KS
awang	KB
awar	KB
awaracun	KS
awas	KKI
awat	KG
awawarna	KS
awet	KS
awin	KB
awur	KKI
awut	KS
ayah	KB
ayahanda	KB
ayak	KKI
ayal	KS
ayam	KB
ayan	KB
ayanda	KB
ayap	KKI
ayar	KB
ayat	KB
ayatullah	KB
ayem	KS
ayeng	KKI
ayit	KS
ayo	SKT
ayom	KKI
ayu	KS
ayum	KKI
ayun	KB
ayunda	KB
ayut	KKI
azab	KB
azal	KS
azali	KS
azam	KS
azan	KB
azeotrop	KB
azimat	KB
azimut	KB
aziz	KS
azmat	KS
azoikum	KB
azospermi	KS
azurit	KB
B	KB
ba	KB
bab	KB
baba	KB
babad	KB
babak	KB
babakan	KB
babal	KB
baban	KKI
babang	KKI
babas	KKI
babat	KKI
babatan	KB
babe	KB
babesiasis	KB
Babet	KB
babi	KB
babil	KS
babit	KKI
bablas	KKI
babon	KB
babu	KB
babun	KB
babur	KS
babut	KB
baca	KKI
bacah	KKI
bacak	KS
bacang	KB
bacar	KS
bacek	KS
bacem	KKI
bacik	KB
bacin	KS
baco	KB
bacok	KKI
bacot	KB
bacul	KS
bacut	KT
bad	KB
badai	KB
badak	KB
badal	KB
badam	KB
badan	KB
badang	KB
badani	KS
badar	KB
badari	KB
badasi	KKI
badau	KB
bade	KB
badi	KB
badik	KB
badminton	KB
badong	KB
Badui	KB
baduk	KS
badung	KB
badur	KB
badut	KB
baduyut	KB
bafta	KB
bagai	KB
bagaimana	KG
bagak	KS
bagal	KS
bagan	KB
bagang	KB
bagar	KB
bagas	KS
bagasi	KB
bagat	KB
bagau	KB
bagea	KB
bagi	KSD|KD
baginda	KB
bagong	KS
bagor	KB
baguk	KB
bagul	KKI
bagur	KS
bagus	KS
bah	KB
bahadur	KB
bahaduri	KS
bahagia	KB
bahak	KT
bahala	KB
bahalan	KB
baham	KKI
bahan	KB
bahana	KB
bahang	KB
bahar	KB
bahara	KB
bahari	KS
bahariwan	KB
baharu	KS
bahas	KKI
bahasa	KB
bahasawan	KB
bahaya	KB
bahenol	KS
baheula	KT
bahimiah	KS
bahkan	KSD
bahrulhayat	KB
bahtera	KB
bahu	KB
bahuku	KB
bahwa	KSD
bahwasanya	KSD
baiat	KB
baid	KS
baiduri	KB
baik	KS
bain	KS
bainah	KB
bais	KB
bait	KB
Baitulharam	KB
Baitullah	KB
Baitulmakdis	KB
Baitulmakmur	KB
baitulmal	KB
Baitulmukadas	KB
baja	KB
bajaj	KB
bajak	KB
bajan	KB
bajang	KB
bajar	KKI
bajau	KB
bajetah	KB
baji	KB
bajigur	KB
bajik	KB
bajing	KB
baju	KB
bajul	KB
bak	KB
baka	KS
bakak	KKI
bakal	KB
bakalaureat	KB
bakam	KB
bakap	KB
bakar	KKI
bakarat	KB
bakas lewu	KB
bakat	KB
bakau	KB
bakda	TB
bakdahu	TB
bakdu	TB
bakdul	KB
bakelit	KB
bakero	KS
bakh	KS
bakhil	KS
baki	KB
bakiak	KB
bakik	KB
bakir	KB
